,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.388,0.12066544676810546,0.4
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.366,0.12066544676810546,0.45
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.339,0.12066544676810546,0.5
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.304,0.12066544676810546,0.55
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.267,0.12066544676810546,0.6
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.001,0.212,0.12066544676810546,0.65
MTMR_00,0.608,0.011803284010427111,0.0073954225176862485,0.34749948878605436,0.608,0.0,0.16,0.12066544676810546,0.7
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.387,0.11673183578335379,0.4
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.373,0.11673183578335379,0.45
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.348,0.11673183578335379,0.5
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.311,0.11673183578335379,0.55
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.25,0.11673183578335379,0.6
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.218,0.11673183578335379,0.65
MTMR_01,0.589,0.011592754104661556,0.0071398951573953436,0.34213424901955486,0.589,0.0,0.162,0.11673183578335379,0.7
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.037,0.719,0.4861505676950218,0.4
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.027,0.647,0.4861505676950218,0.45
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.017,0.573,0.4861505676950218,0.5
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.014,0.49,0.4861505676950218,0.55
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.009,0.423,0.4861505676950218,0.6
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.005,0.333,0.4861505676950218,0.65
MTMR_10,0.99,0.06600770172720846,0.05935429842807577,0.43500896588033827,0.99,0.002,0.252,0.4861505676950218,0.7
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.019,0.648,0.5773859128478097,0.4
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.014,0.561,0.5773859128478097,0.45
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.009,0.497,0.5773859128478097,0.5
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.004,0.404,0.5773859128478097,0.55
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.0,0.311,0.5773859128478097,0.6
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.0,0.227,0.5773859128478097,0.65
MTMR_11,0.998,0.04561036539214022,0.03898458601240128,0.38957091916384984,0.998,0.0,0.155,0.5773859128478097,0.7
