,THRESHOLD_SIMILARITY,SR_PROP,SR_IMPR,SR_PROP_WO_NOVELTY,SR_IMPR_WO_NOVELTY,MODEL
0,0.4,0.78875,0.45375,0.78875,0.45375,MTMR
1,0.45,0.72375,0.3675,0.72375,0.3675,MTMR
2,0.5,0.65625,0.2875,0.65625,0.2875,MTMR
3,0.55,0.57625,0.195,0.57625,0.195,MTMR
4,0.6,0.48625,0.11,0.48625,0.11,MTMR
5,0.65,0.3525,0.05625,0.3525,0.05625,MTMR
6,0.7,0.2125,0.0175,0.2125,0.0175,MTMR
7,0.4,0.67625,0.19625,0.6775,0.19625,VJTNN
8,0.45,0.6375,0.1475,0.63875,0.1475,VJTNN
9,0.5,0.59,0.10125,0.59125,0.10125,VJTNN
10,0.55,0.5175,0.06,0.51875,0.06,VJTNN
11,0.6,0.4325,0.03375,0.43375,0.03375,VJTNN
12,0.65,0.3175,0.015,0.31875,0.015,VJTNN
13,0.7,0.20125,0.0025,0.20125,0.0025,VJTNN
14,0.4,0.72125,0.2975,0.72125,0.2975,VJTNN+GAN
15,0.45,0.6825,0.22375,0.6825,0.22375,VJTNN+GAN
16,0.5,0.625,0.155,0.625,0.155,VJTNN+GAN
17,0.55,0.54625,0.095,0.54625,0.095,VJTNN+GAN
18,0.6,0.4575,0.04875,0.4575,0.04875,VJTNN+GAN
19,0.65,0.335,0.0175,0.335,0.0175,VJTNN+GAN
20,0.7,0.21,0.005,0.21,0.005,VJTNN+GAN
21,0.4,0.69125,0.25875,0.69125,0.25875,CORE
22,0.45,0.6175,0.18875,0.6175,0.18875,CORE
23,0.5,0.57,0.14125,0.57,0.14125,CORE
24,0.55,0.4775,0.07875,0.47875,0.07875,CORE
25,0.6,0.3975,0.0575,0.3975,0.0575,CORE
26,0.65,0.27875,0.01875,0.27875,0.01875,CORE
27,0.7,0.17875,0.005,0.17875,0.005,CORE
28,0.4,0.615,0.15875,0.615,0.15875,HierG2G
29,0.45,0.56625,0.115,0.56625,0.115,HierG2G
30,0.5,0.50125,0.07625,0.50125,0.07625,HierG2G
31,0.55,0.42,0.03875,0.42,0.03875,HierG2G
32,0.6,0.335,0.01875,0.335,0.01875,HierG2G
33,0.65,0.25375,0.00875,0.25375,0.00875,HierG2G
34,0.7,0.1575,0.00125,0.1575,0.00125,HierG2G
35,0.4,0.67875,0.23,0.67875,0.23,HierG2G+BT
36,0.45,0.625,0.17375,0.625,0.17375,HierG2G+BT
37,0.5,0.57,0.10625,0.57,0.10625,HierG2G+BT
38,0.55,0.4825,0.055,0.4825,0.055,HierG2G+BT
39,0.6,0.39625,0.02125,0.39625,0.02125,HierG2G+BT
40,0.65,0.2975,0.00625,0.29875,0.00625,HierG2G+BT
41,0.7,0.16625,0.00375,0.16625,0.00375,HierG2G+BT
