LOSS,REWARD,SIMILARITY,PROPERTY
0.030880285426974297,0.0595555454492569,0.752734363079071,0.0595555454492569
0.02329334244132042,0.0741787776350975,0.7465605139732361,0.0741787776350975
0.03432614356279373,0.07539144903421402,0.7538052201271057,0.07539144903421402
0.028285058215260506,0.06933922320604324,0.7361894249916077,0.06933922320604324
0.027480021119117737,0.08204364031553268,0.7379416227340698,0.08204364031553268
0.029433274641633034,0.07041754573583603,0.728872537612915,0.07041754573583603
0.0279326643794775,0.0786345824599266,0.7478023767471313,0.0786345824599266
0.027231672778725624,0.07400845736265182,0.722128689289093,0.07400845736265182
0.0266715195029974,0.11392383277416229,0.7351437211036682,0.11392383277416229
0.023869389668107033,0.09001421928405762,0.7440588474273682,0.09001421928405762
0.02822181209921837,0.11126596480607986,0.7412465214729309,0.11126596480607986
0.02678418532013893,0.09369289875030518,0.7304111123085022,0.09369289875030518
0.030029956251382828,0.112645722925663,0.7347027659416199,0.112645722925663
0.02529999427497387,0.11048707365989685,0.7201613783836365,0.11048707365989685
0.022713111713528633,0.1020686998963356,0.7181136012077332,0.1020686998963356
0.027704311534762383,0.1314670294523239,0.6792529225349426,0.1314670294523239
0.022813258692622185,0.11064508557319641,0.6945543885231018,0.11064508557319641
0.023932799696922302,0.12948332726955414,0.6598750948905945,0.12948332726955414
0.034249451011419296,0.14336960017681122,0.6808072328567505,0.14336960017681122
0.021460983902215958,0.1316966414451599,0.701999306678772,0.1316966414451599
0.029824988916516304,0.15822146832942963,0.6593771576881409,0.15822146832942963
0.030427711084485054,0.156589075922966,0.6632689833641052,0.156589075922966
0.028096701949834824,0.15255847573280334,0.6450554728507996,0.15255847573280334
0.027042847126722336,0.14034125208854675,0.6400034427642822,0.14034125208854675
0.03558307886123657,0.1643080860376358,0.64118492603302,0.1643080860376358
0.02882404997944832,0.15262781083583832,0.6757263541221619,0.15262781083583832
0.03285269811749458,0.17361542582511902,0.6484807133674622,0.17361542582511902
0.030654137954115868,0.15353991091251373,0.6641498804092407,0.15353991091251373
0.02842724695801735,0.16359712183475494,0.636498749256134,0.16359712183475494
