<<<<<<< HEAD
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,DIVERSITY,MODEL
0,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.6238601164706578,MTMR
1,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.6181622852840108,VJTNN
2,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.6072571080792141,VJTNN+GAN
3,0.98375,1.4308348202504773,4.087196310139612,0.3243679248484937,0.98375,0.6276984205360572,CORE
4,0.9475,1.5100191981100375,4.05192211280145,0.26607339187755175,0.9475,0.6469604314650316,HierG2G
5,0.98125,1.3348320527384183,3.9825682822105377,0.2691947304142912,0.98125,0.6921095689155805,HierG2G+BT
=======
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.63125,0.40625,0.6238601164706578,0.4
MTMR,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.5225,0.28875,0.6238601164706578,0.45
MTMR,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.4225,0.18125,0.6238601164706578,0.5
MTMR,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.3175,0.1075,0.6238601164706578,0.55
MTMR,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.23,0.0625,0.6238601164706578,0.6
MTMR,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.1425,0.025,0.6238601164706578,0.65
MTMR,0.995,1.9453461467671043,4.662588093873941,0.308346053843089,0.995,0.0575,0.00375,0.6238601164706578,0.7
JTVAE,0.2475,0.24645684567803716,0.7639186164055313,0.10319741705848408,0.2475,0.1475,0.01625,0.0,0.4
JTVAE,0.2475,0.24645684567803716,0.7639186164055313,0.10319741705848408,0.2475,0.11375,0.01125,0.0,0.45
JTVAE,0.2475,0.24645684567803716,0.7639186164055313,0.10319741705848408,0.2475,0.0825,0.005,0.0,0.5
JTVAE,0.2475,0.24645684567803716,0.7639186164055313,0.10319741705848408,0.2475,0.03625,0.0,0.0,0.55
JTVAE,0.2475,0.24645684567803716,0.7639186164055313,0.10319741705848408,0.2475,0.0175,0.0,0.0,0.6
JTVAE,0.2475,0.24645684567803716,0.7639186164055313,0.10319741705848408,0.2475,0.01375,0.0,0.0,0.65
JTVAE,0.2475,0.24645684567803716,0.7639186164055313,0.10319741705848408,0.2475,0.0075,0.0,0.0,0.7
VJTNN,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.695,0.35875,0.6181622852840108,0.4
VJTNN,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.57875,0.23125,0.6181622852840108,0.45
VJTNN,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.4675,0.14625,0.6181622852840108,0.5
VJTNN,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.30125,0.0575,0.6181622852840108,0.55
VJTNN,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.1875,0.02125,0.6181622852840108,0.6
VJTNN,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.1175,0.01125,0.6181622852840108,0.65
VJTNN,0.975,1.4890048037128445,4.09487689988592,0.31608022195652274,0.975,0.0525,0.005,0.6181622852840108,0.7
VJTNN+GAN,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.7125,0.3875,0.6072571080792141,0.4
VJTNN+GAN,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.58875,0.25,0.6072571080792141,0.45
VJTNN+GAN,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.4625,0.15,0.6072571080792141,0.5
VJTNN+GAN,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.31125,0.0675,0.6072571080792141,0.55
VJTNN+GAN,0.99,1.542960880483458,4.242394444310295,0.3262614957981109,0.99,0.195,0.03375,0.6072571080792141,0.6
